iter	Passed	Remaining
1193	12274	6856
1194	12286	6847
1195	12294	6835
1196	12306	6826
1197	12314	6815
1198	12323	6803
1199	12330	6792
1200	12338	6780
1201	12347	6769
1202	12354	6757
1203	12362	6746
1204	12371	6734
1205	12379	6723
1206	12387	6712
1207	12395	6700
1208	12403	6689
1209	12412	6677
1210	12423	6668
1211	12432	6657
1212	12440	6645
1213	12448	6634
1214	12456	6623
1215	12465	6611
1216	12472	6600
1217	12483	6590
1218	12492	6579
1219	12499	6567
1220	12509	6556
1221	12515	6544
1222	12525	6534
1223	12532	6522
1224	12543	6512
1225	12550	6500
1226	12560	6490
1227	12567	6478
1228	12577	6468
1229	12584	6456
1230	12596	6446
1231	12603	6434
1232	12613	6424
1233	12620	6412
1234	12629	6401
1235	12635	6389
1236	12646	6379
1237	12654	6368
1238	12664	6357
1239	12673	6347
1240	12682	6335
1241	12690	6324
1242	12699	6313
1243	12706	6302
1244	12715	6291
1245	12723	6280
1246	12732	6269
1247	12740	6258
1248	12749	6247
1249	12757	6235
1250	12766	6224
1251	12773	6213
1252	12782	6202
1253	12794	6193
1254	12803	6182
1255	12809	6170
1256	12818	6159
1257	12825	6147
1258	12834	6136
1259	12840	6124
1260	12850	6114
1261	12857	6102
1262	12866	6091
1263	12874	6080
1264	12881	6068
1265	12890	6058
1266	12896	6046
1267	12907	6036
1268	12916	6025
1269	12926	6015
1270	12934	6004
1271	12943	5993
1272	12951	5982
1273	12959	5971
1274	12968	5960
1275	12976	5949
1276	12983	5937
1277	12991	5926
1278	12999	5915
1279	13008	5904
1280	13016	5893
1281	13023	5882
1282	13031	5870
1283	13041	5860
1284	13051	5850
1285	13064	5841
1286	13080	5834
1287	13091	5824
1288	13106	5815
1289	13120	5807
1290	13133	5798
1291	13152	5792
1292	13165	5783
1293	13176	5773
1294	13185	5762
1295	13193	5751
1296	13202	5741
1297	13211	5730
1298	13223	5721
1299	13232	5710
1300	13241	5699
1301	13248	5688
1302	13257	5677
1303	13265	5666
1304	13273	5655
1305	13281	5644
1306	13293	5634
1307	13299	5622
1308	13309	5612
1309	13318	5602
1310	13326	5590
1311	13335	5580
1312	13343	5569
1313	13351	5558
1314	13360	5547
1315	13369	5536
1316	13377	5525
1317	13385	5514
1318	13394	5503
1319	13404	5494
1320	13417	5484
1321	13426	5474
1322	13432	5462
1323	13441	5451
1324	13448	5440
1325	13457	5429
1326	13464	5418
1327	13474	5408
1328	13480	5396
1329	13490	5386
1330	13497	5374
1331	13507	5364
1332	13513	5352
1333	13523	5342
